ID,Course,Assignment Name,Importance (1-5),Due Date,Done
eea7205da95cd64faaeca46da66a46bd,CS 439,VM Group Planning and Reflections,3,04/01/2022,X
7a5977bd44366ace9e6ddb5ffa448755,CS 103F,Blog Post #10 ,2,04/01/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,04/01/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,04/01/2022,X
3d124f4d3978ba0534910ec61917917e,HIS 315K,Paper 2 Due,5,04/01/2022,X
de7c82c9dd9c5fd2cf6a29f37423bb04,CS 103F,Blog Post #10 Peer Review,2,04/04/2022,X
4e54e33cdf86ab8063bb957383bd861b,CS 439,Exam 2,5,04/06/2022,
9fd5646722fc6b21f9003a7b9e8405e7,CS 103F,Blog Post #11,2,04/08/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,04/08/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,04/08/2022,X
d6086044fa2b8a95350b016e7ccb3fdb,CS 103F,Blog Post #11 Peer Review,2,04/11/2022,X
dd97ce7cbe936696f3230b2e6408a4cb,CS 439,Project 3 Code Due,5,04/14/2022,X
2a5f2d40e4badda91a9e5fcbf49223d3,CS 439,Project 3 Design Doc,4,04/15/2022,X
c857f004e0730e5af0b93987d47ff758,CS 439,VM Group Evaluation,3,04/15/2022,X
0ec154f01725fae761442c69b160841b,CS 103F,Blog Post #12,2,04/15/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,04/15/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,04/15/2022,X
1e72a92fe6ff64a3d9ea1f627b6cddf9,CS 439,Project 4 group registration,2,04/18/2022,X
921f8f09777ac8467c350a9c6a18553a,CS 103F,Blog Post #12 Peer Review,2,04/18/2022,X
a0ef068a78e6fe62519097e37fa2c8da,HIS 315K,Events in timeline ,3,04/20/2022,X
4d989db727f0ee3cc1709853d7a2d35b,CS 439,Problem Set 7,2,04/22/2022,X
18f61dbd3559117875e4a509bcd7157a,CS 439,Filesys Group Planning and reflection,3,04/22/2022,X
6b457f733213d34d67d69be5a688952e,CS 103F,Blog Post #13,2,04/22/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,04/22/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,04/22/2022,X
3aa9b9702bd22acb8bb6b72c7058f42a,HIS 315K,Group Project 2,4,04/22/2022,X
ee666478f07fc083354630ee766e8f6b,CS 103F,Blog Post #13 Peer Review,2,04/25/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,04/29/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,04/29/2022,X
8c1eaa2497ba7166836d2c9a07e2b7f6,CS 439,Project 4 Code,5,05/05/2022,X
8bf7cd43f286e46288f3ee27a1c18ad9,CS 439,Project 4 Design Doc,4,05/06/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,05/06/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,05/06/2022,X
9df20286647f62f0749b0cb4617a2bd5,HIS 315K,Unit Paper 3,2,05/09/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,05/13/2022,X
